attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
0,0,312,0,0,0,0,0,0,0,0,0,0
0,0,28,0,0,0,0,0,0,0,0,0,0
0,0,-102,0,0,0,0,0,0,0,0,0,0
0,0,136,0,0,0,0,0,0,0,0,0,0
0,0,1370,0,0,0,0,0,0,0,0,0,0
27,27,178,944026,1447856,173455,87294,14155,307916,7508,1413456,0,0
27,27,52,944026,1447856,173455,87294,14155,307916,7508,1413456,0,0
27,27,-406,944026,1447856,173455,87294,14155,307916,7508,1413456,0,0
27,27,-1141,944026,1447856,173455,87294,14155,307916,7508,1413456,0,0
27,27,-309,944026,1447856,173455,87294,14155,307916,7508,1413456,0,0
27,27,91,944026,1447856,173455,87294,14155,307916,7508,1413456,0,0
27,27,168,944026,1447856,173455,87294,14155,307916,7508,1413456,0,0
27,27,871,944026,1447856,173455,87294,14155,307916,7508,1413456,0,0
27,27,186,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,186,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,-121,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,25,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,140,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,-118,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,602,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,602,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,-60,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,53,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,-420,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,-235,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,-42,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,-46,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,215,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,-12,1317845,21698,1793,1635,3294,1503,634,2820,51,0
27,27,86,1317845,21698,1793,1635,3294,1503,634,2820,51,0
13,37,-37,398559,315159,66649,28119,23968,20500,2405,304799,0,0
13,37,166,398559,315159,66649,28119,23968,20500,2405,304799,0,0
13,37,166,398559,315159,66649,28119,23968,20500,2405,304799,0,0
13,37,166,398559,315159,66649,28119,23968,20500,2405,304799,0,0
13,37,746,398559,315159,66649,28119,23968,20500,2405,304799,0,0
13,37,-129,398559,315159,66649,28119,23968,20500,2405,304799,0,0
13,37,-61,398559,315159,66649,28119,23968,20500,2405,304799,0,0
1,20,85,640098,83953,11268,11170,8913,4771,2218,62250,0,0
1,20,-84,640098,83953,11268,11170,8913,4771,2218,62250,0,0
1,20,168,640098,83953,11268,11170,8913,4771,2218,62250,0,0
1,20,119,640098,83953,11268,11170,8913,4771,2218,62250,0,0
1,20,-3,640098,83953,11268,11170,8913,4771,2218,62250,0,0
1,20,-8,640098,83953,11268,11170,8913,4771,2218,62250,0,0
1,20,155,640098,83953,11268,11170,8913,4771,2218,62250,0,0
1,20,74,640098,83953,11268,11170,8913,4771,2218,62250,0,0
1,20,2,640098,83953,11268,11170,8913,4771,2218,62250,0,0
1,29,-30,665124,289410,39941,35113,11373,11765,1424,270647,0,0
1,29,156,665124,289410,39941,35113,11373,11765,1424,270647,0,0
1,29,132,665124,289410,39941,35113,11373,11765,1424,270647,0,0
1,29,90,665124,289410,39941,35113,11373,11765,1424,270647,0,0
1,29,-74,665124,289410,39941,35113,11373,11765,1424,270647,0,0
1,29,123,665124,289410,39941,35113,11373,11765,1424,270647,0,0
